date,count,uniques
2026-03-23,0,0
2026-03-24,0,0
2026-03-25,0,0
2026-03-26,0,0
2026-03-27,10,1
2026-03-28,33,1
2026-03-29,18,1
2026-03-30,8,2
2026-03-31,13,2
2026-04-01,47,7
2026-04-02,6,3
2026-04-03,0,0
2026-04-04,0,0
2026-04-05,5,1
2026-04-06,59,4
2026-04-07,3,3
2026-04-08,2,2
2026-04-09,6,3
2026-04-10,11,2
2026-04-11,5,2
2026-04-12,4,1
2026-04-13,22,5
2026-04-14,0,0
2026-04-15,2,2
2026-04-16,3,2
2026-04-17,0,0
2026-04-18,0,0
2026-04-19,0,0
2026-04-20,0,0
2026-04-21,0,0
2026-04-22,3,1
2026-04-23,4,1
2026-04-24,1,1
2026-04-25,0,0
2026-04-26,0,0
2026-04-27,7,1
